# The exercise catalogue every workout is built from.
#
# Sessions are assembled from these rows by WorkoutPlanner, not written by the
# model. A generated plan can hallucinate an exercise, prescribe 40 reps of
# something nobody should do 40 reps of, or return nothing at all on a bad day;
# a table cannot. The model's job in this feature is the coaching sentence, and
# only that.
#
# Format, pipe-delimited, one exercise per line:
#
#   key|name|pattern|target|equipment|level|unit|base_reps|cue|youtube_id|mistake
#
# key         Stable identifier. Referenced by workout_session_exercise, so
#             renaming one silently rewrites what old sessions say the user did.
#             Add a new row instead.
# pattern     squat | hinge | push | pull | core | cardio | mobility
#             The load-bearing column. It is what lets the planner fill a
#             balanced session, and what makes the Replace sheet's promise --
#             "each of these keeps the same job in your session" -- literally
#             true rather than marketing. Alternatives are drawn from the same
#             pattern at the same or lower equipment tier.
# equipment   none | bands | dumbbells | gym
#             What you must HAVE to do this. A user's answer is a set; a row is
#             offered only if its single requirement is in that set. "none" is
#             therefore always available, which is what keeps a kit-less
#             beginner from getting a short session full of empty slots.
# level       beginner | intermediate | advanced
#             The MINIMUM level. An intermediate user can be given beginner
#             rows; a beginner is never given intermediate ones.
# unit        reps | sec | each_side
#             A plank prescribed as "30 reps" is wrong in a way no amount of
#             number-tuning fixes.
# base_reps   The beginner-baseline dose. WorkoutPlanner scales it by level and
#             by how the last sessions were rated, so this is a starting point
#             and not a prescription.
# cue         One sentence, shown only once the exercise is in front of you.
#             The single thing most likely to keep the movement safe.
# youtube_id  An 11-character video id, or empty. EMPTY IS THE NORMAL STATE and
#             is not a gap to be filled in bulk: the app falls back to a YouTube
#             search for the exercise name, which always resolves, so every row
#             has a working link from day one. Put an id here only after
#             actually watching the video and deciding it is the one you would
#             show someone. An unwatched id is a dead or wrong link, which is
#             strictly worse than the search it replaced.
# mistake     The single error that most often makes this movement useless or
#             unsafe. Shown in the How-to sheet under the cue. Distinct from the
#             cue on purpose: the cue says what to do, this says what goes wrong.
#
# INVARIANT, enforced by WorkoutCatalogTest: every pattern has at least one
# equipment=none, level=beginner row. Break it and a beginner with no equipment
# gets a session that is quietly short rather than one that fails loudly.

single_leg_bridge|Single Leg Glute Bridge|hinge|Glutes and Hamstrings|none|intermediate|each_side|10|Keep your hips level. Do not let the free side drop.||Letting the free hip drop, which turns it into a twist.
nordic_negative|Nordic Curl Negative|hinge|Hamstrings|none|advanced|reps|5|Lower as slowly as you can control, then push back with your hands.||Dropping fast instead of resisting the whole way down.
dumbbell_rdl|Dumbbell Romanian Deadlift|hinge|Hamstrings and Glutes|dumbbells|beginner|reps|10|Weights stay close to your legs. Stop when your hamstrings say so.||Rounding the lower back to reach further down than the hamstrings allow.
dumbbell_hip_thrust|Dumbbell Hip Thrust|hinge|Glutes|dumbbells|intermediate|reps|12|Tuck your chin and finish with your ribs down, not flared.||Flaring the ribs and arching the back at the top instead of tucking.
band_pull_through|Band Pull Through|hinge|Glutes and Hamstrings|bands|beginner|reps|12|The band pulls your hips back. You pull them forward.||Pulling with the arms rather than driving the hips forward.
barbell_deadlift|Barbell Deadlift|hinge|Back and Hamstrings|gym|advanced|reps|5|Take the slack out of the bar before you pull. No jerking off the floor.||Jerking the bar off the floor before the slack is taken out.
back_extension|Back Extension|hinge|Lower Back and Glutes|gym|intermediate|reps|12|Stop at a straight line. There is nothing to gain past it.||Hyperextending past a straight line at the top.

knee_push_up|Knee Push Up|push|Chest and Triceps|none|beginner|reps|10|Body in one line from knees to head. Elbows at roughly 45 degrees.||Letting the hips sag so the body is no longer one line.
incline_push_up|Incline Push Up|push|Chest and Triceps|none|beginner|reps|10|Hands on a table or wall. The higher the hands the easier it gets.||Choosing a surface so high that the chest never has to work.
push_up|Push Up|push|Chest and Triceps|none|intermediate|reps|8|Elbows at 45 degrees and your body in one straight line throughout.||Flaring the elbows straight out to the sides instead of about 45 degrees.
pike_push_up|Pike Push Up|push|Shoulders and Triceps|none|advanced|reps|8|Hips high, crown of the head towards the floor between your hands.||Letting the hips drop, which turns it back into an ordinary push up.
dumbbell_floor_press|Dumbbell Floor Press|push|Chest and Triceps|dumbbells|beginner|reps|10|The floor caps the range, which is kind to a cranky shoulder.||Bouncing the elbows off the floor to start the next rep.
dumbbell_shoulder_press|Dumbbell Shoulder Press|push|Shoulders|dumbbells|intermediate|reps|10|Press slightly forward of your ears, not behind your head.||Pressing behind the head instead of slightly in front of the ears.
band_chest_press|Band Chest Press|push|Chest and Triceps|bands|beginner|reps|12|Anchor behind you and press to full arm length without locking hard.||Letting the band pull the hands back faster than you can control.
bench_press|Barbell Bench Press|push|Chest and Triceps|gym|advanced|reps|8|Use a spotter or safety pins. Touch the chest, do not bounce.||Bouncing the bar off the chest.
cable_chest_fly|Cable Chest Fly|push|Chest|gym|intermediate|reps|12|A slight bend in the elbows the whole way. This is not a press.||Bending and straightening the elbows, which makes it a press.

prone_row|Prone Floor Row|pull|Upper Back|none|beginner|reps|12|Face down, drag your elbows back along the floor and squeeze your shoulder blades.||Shrugging the shoulders up instead of drawing the blades together.
superman|Superman|pull|Upper Back and Lower Back|none|beginner|sec|20|Lift your chest and thighs a few centimetres only. Look at the floor.||Lifting so high that the lower back takes over from the upper back.
doorway_row|Doorway Row|pull|Back and Biceps|none|intermediate|reps|10|Hold a solid frame, lean back, and pull your chest to your hands.||Pulling with the arms while the shoulders stay rolled forward.
inverted_row|Inverted Row|pull|Back and Biceps|none|advanced|reps|8|Under a sturdy table. Body straight, pull the chest to the edge.||Letting the hips sag so the body stops being a straight line.
dumbbell_row|Dumbbell Row|pull|Back and Biceps|dumbbells|beginner|each_side|10|Pull to your ribs, not your shoulder. Shoulders down and back.||Pulling to the shoulder instead of the ribs, and twisting the torso to do it.
dumbbell_reverse_fly|Dumbbell Reverse Fly|pull|Rear Shoulders and Upper Back|dumbbells|intermediate|reps|12|Light weight. Lead with the elbows and stop level with your back.||Using a weight heavy enough that the lower back swings it up.
band_row|Band Row|pull|Back and Biceps|bands|beginner|reps|12|Pull to the ribs and pause for a beat before letting it back out.||Letting the band snap the hands forward at the end of each rep.
band_pull_apart|Band Pull Apart|pull|Rear Shoulders|bands|beginner|reps|15|Straight arms. Pull the band to your chest and open across.||Bending the elbows to make it easier.
lat_pulldown|Lat Pulldown|pull|Back and Biceps|gym|beginner|reps|12|Pull the bar to your collarbone and let your shoulder blades travel.||Leaning far back so the whole body swings the bar down.
pull_up|Pull Up|pull|Back and Biceps|gym|advanced|reps|6|Start from a dead hang and pull your chest towards the bar.||Starting from a half hang rather than straight arms.

dead_bug|Dead Bug|core|Core|none|beginner|each_side|10|Press your lower back into the floor and keep it there the whole set.||Letting the lower back arch off the floor as the leg extends.
plank|Plank|core|Core|none|beginner|sec|30|Ribs down, hips level, and keep breathing.||Letting the hips sag, or piking them up to make it easier.
bird_dog|Bird Dog|core|Core and Lower Back|none|beginner|each_side|10|Move slowly. Your hips should not rock at all.||Rocking the hips instead of keeping them square to the floor.
side_plank|Side Plank|core|Obliques|none|intermediate|sec|25|Stack your shoulders and hips and push the floor away.||Letting the top shoulder roll forward, which twists the body.
hollow_hold|Hollow Hold|core|Core|none|advanced|sec|25|Lower back glued down. If it lifts, raise your legs higher.||Letting the lower back lift off the floor rather than lowering the legs.
dumbbell_suitcase_carry|Suitcase Carry|core|Core and Grip|dumbbells|intermediate|each_side|20|One weight, walk tall, and refuse to lean towards it.||Leaning towards the weight instead of resisting it.
pallof_press|Band Pallof Press|core|Core|bands|intermediate|each_side|10|Stand side on to the anchor and resist the twist as you press out.||Letting the torso rotate towards the anchor as the arms extend.
cable_woodchop|Cable Woodchop|core|Obliques|gym|intermediate|each_side|12|Turn from the ribs. Your arms are just holding on.||Turning with the arms while the ribs stay still.

march_in_place|March In Place|cardio|Full Body|none|beginner|sec|45|Drive the knees to hip height and keep the arms moving.||Barely lifting the knees, which turns it into standing still.
step_touch|Step Touch|cardio|Full Body|none|beginner|sec|45|Wide steps side to side. Land softly through the whole foot.||Landing hard on a locked leg instead of a soft knee.
jumping_jack|Jumping Jack|cardio|Full Body|none|intermediate|sec|40|Land quietly with soft knees. Quiet feet means good landings.||Landing flat and heavy rather than through the whole foot.
high_knees|High Knees|cardio|Full Body|none|advanced|sec|30|Fast feet, tall chest. Stop the set when your form goes not when it hurts.||Carrying on once the form falls apart, rather than stopping the set.
burpee|Burpee|cardio|Full Body|none|advanced|reps|8|Step back instead of jumping back if your lower back starts to sag.||Letting the lower back sag in the plank position between reps.
stationary_bike|Stationary Bike|cardio|Legs and Heart|gym|beginner|sec|180|Steady effort you could hold a short conversation through.||Setting the seat so low that the knees never straighten.
rowing_machine|Rowing Machine|cardio|Full Body|gym|intermediate|sec|180|Legs, then back, then arms. Reverse that order coming forward.||Pulling with the arms first instead of driving with the legs.

cat_cow|Cat Cow|mobility|Spine|none|beginner|reps|10|Move one vertebra at a time and let your breath set the pace.||Rushing through it instead of moving one vertebra at a time.
hip_flexor_stretch|Half Kneeling Hip Flexor Stretch|mobility|Hips|none|beginner|each_side|30|Tuck your tailbone first. The stretch should move to the front of the hip.||Arching the lower back, which hides the stretch instead of feeling it.
worlds_greatest_stretch|Worlds Greatest Stretch|mobility|Hips and Spine|none|intermediate|each_side|8|Long lunge, drop the elbow inside the front foot, then open to the ceiling.||Rushing the rotation instead of opening slowly to the ceiling.
thoracic_rotation|Thoracic Rotation|mobility|Upper Back|none|beginner|each_side|10|Turn from the mid back and let your eyes follow your hand.||Turning from the lower back rather than the mid back.
ankle_rock|Ankle Rocker|mobility|Ankles|none|beginner|each_side|12|Drive the knee past the toes with the heel stubbornly down.||Letting the heel lift, which removes the whole point.
band_shoulder_dislocate|Band Shoulder Pass Through|mobility|Shoulders|bands|beginner|reps|10|Go wider than feels necessary. Narrow grips are how shoulders get pinched.||Using a grip so narrow that the shoulders get pinched.
